"Step","2025.11.29_09.59.54 - reward_mean","2025.11.29_09.59.54 - reward_mean__MIN","2025.11.29_09.59.54 - reward_mean__MAX","2025.11.26_03.19.21 - reward_mean","2025.11.26_03.19.21 - reward_mean__MIN","2025.11.26_03.19.21 - reward_mean__MAX","2025.11.25_00.19.07 - reward_mean","2025.11.25_00.19.07 - reward_mean__MIN","2025.11.25_00.19.07 - reward_mean__MAX","2025.11.24_00.42.21 - reward_mean","2025.11.24_00.42.21 - reward_mean__MIN","2025.11.24_00.42.21 - reward_mean__MAX","2025.11.23_04.08.27 - reward_mean","2025.11.23_04.08.27 - reward_mean__MIN","2025.11.23_04.08.27 - reward_mean__MAX"
"0","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875","-114.82196875"
"4","-112.06646875","-112.06646875","-112.06646875","-112.18059374999999","-112.18059374999999","-112.18059374999999","-112.03759375","-112.03759375","-112.03759375","-112.26137500000002","-112.26137500000002","-112.26137500000002","-112.21618749999999","-112.21618749999999","-112.21618749999999"
"8","-107.1518125","-107.1518125","-107.1518125","-107.4041875","-107.4041875","-107.4041875","-106.94821875","-106.94821875","-106.94821875","-107.26193749999999","-107.26193749999999","-107.26193749999999","-107.14203125","-107.14203125","-107.14203125"
"12","-102.984125","-102.984125","-102.984125","-103.060375","-103.060375","-103.060375","-103.098875","-103.098875","-103.098875","-103.17490624999999","-103.17490624999999","-103.17490624999999","-103.12678125","-103.12678125","-103.12678125"
"16","-101.74071874999998","-101.74071874999998","-101.74071874999998","-101.9195","-101.9195","-101.9195","-102.25971875","-102.25971875","-102.25971875","-102.264","-102.264","-102.264","-101.9116875","-101.9116875","-101.9116875"
"20","-105.4175625","-105.4175625","-105.4175625","-104.7086875","-104.7086875","-104.7086875","-105.29053125000002","-105.29053125000002","-105.29053125000002","-104.93553125","-104.93553125","-104.93553125","-105.03478125000001","-105.03478125000001","-105.03478125000001"
"24","-111.7985","-111.7985","-111.7985","-112.22378125","-112.22378125","-112.22378125","-112.12506249999998","-112.12506249999998","-112.12506249999998","-112.59090624999999","-112.59090624999999","-112.59090624999999","-112.41021875000001","-112.41021875000001","-112.41021875000001"
"28","-100.12021875","-100.12021875","-100.12021875","-101.091875","-101.091875","-101.091875","-100.6859375","-100.6859375","-100.6859375","-101.53134374999999","-101.53134374999999","-101.53134374999999","-101.05021875","-101.05021875","-101.05021875"
"32","-103.54209374999999","-103.54209374999999","-103.54209374999999","-103.2203125","-103.2203125","-103.2203125","-103.95446874999999","-103.95446874999999","-103.95446874999999","-102.928125","-102.928125","-102.928125","-105.0599375","-105.0599375","-105.0599375"
"36","-102.952","-102.952","-102.952","-102.38006250000001","-102.38006250000001","-102.38006250000001","-103.2590625","-103.2590625","-103.2590625","-103.35843750000001","-103.35843750000001","-103.35843750000001","-104.046375","-104.046375","-104.046375"
"40","-99.7500625","-99.7500625","-99.7500625","-97.54546875","-97.54546875","-97.54546875","-96.99790625","-96.99790625","-96.99790625","-98.72365625","-98.72365625","-98.72365625","-100.13428125","-100.13428125","-100.13428125"
"44","-98.84396874999999","-98.84396874999999","-98.84396874999999","-96.23309375000001","-96.23309375000001","-96.23309375000001","-100.827375","-100.827375","-100.827375","-99.03965625","-99.03965625","-99.03965625","-98.96584375","-98.96584375","-98.96584375"
"48","-103.86909375","-103.86909375","-103.86909375","-99.69746875000001","-99.69746875000001","-99.69746875000001","-102.2723125","-102.2723125","-102.2723125","-103.9041875","-103.9041875","-103.9041875","-105.90950000000001","-105.90950000000001","-105.90950000000001"
"52","-97.44774999999998","-97.44774999999998","-97.44774999999998","-93.51465625","-93.51465625","-93.51465625","-94.52374999999999","-94.52374999999999","-94.52374999999999","-97.26037500000001","-97.26037500000001","-97.26037500000001","-96.42659375","-96.42659375","-96.42659375"
"56","-88.8839375","-88.8839375","-88.8839375","-85.8491875","-85.8491875","-85.8491875","-87.95471875","-87.95471875","-87.95471875","-93.73725","-93.73725","-93.73725","-89.719875","-89.719875","-89.719875"
"60","-105.6654375","-105.6654375","-105.6654375","-100.44049999999999","-100.44049999999999","-100.44049999999999","-101.10875","-101.10875","-101.10875","-105.17140624999999","-105.17140624999999","-105.17140624999999","-105.83046875","-105.83046875","-105.83046875"
"64","-84.45075","-84.45075","-84.45075","-80.96265625","-80.96265625","-80.96265625","-81.89921875","-81.89921875","-81.89921875","-83.2599375","-83.2599375","-83.2599375","-82.74759375000001","-82.74759375000001","-82.74759375000001"
"68","-85.31425","-85.31425","-85.31425","-83.81003125","-83.81003125","-83.81003125","-83.8365625","-83.8365625","-83.8365625","-85.0114375","-85.0114375","-85.0114375","-84.593","-84.593","-84.593"
"72","-86.39640625","-86.39640625","-86.39640625","-85.45559375","-85.45559375","-85.45559375","-86.207","-86.207","-86.207","-86.85412500000001","-86.85412500000001","-86.85412500000001","-88.0585","-88.0585","-88.0585"
"76","-85.8205","-85.8205","-85.8205","-84.86375000000001","-84.86375000000001","-84.86375000000001","-84.01178125","-84.01178125","-84.01178125","-85.64465625","-85.64465625","-85.64465625","-83.76946874999999","-83.76946874999999","-83.76946874999999"
"80","-84.7295","-84.7295","-84.7295","-83.3181875","-83.3181875","-83.3181875","-84.01009375","-84.01009375","-84.01009375","-84.76512500000001","-84.76512500000001","-84.76512500000001","-82.61259375","-82.61259375","-82.61259375"
"84","-90.24796875","-90.24796875","-90.24796875","-88.49449999999999","-88.49449999999999","-88.49449999999999","-90.10446875","-90.10446875","-90.10446875","-92.00346875","-92.00346875","-92.00346875","-87.2485","-87.2485","-87.2485"
"88","-84.07221875","-84.07221875","-84.07221875","-80.94871875000001","-80.94871875000001","-80.94871875000001","-84.45328125","-84.45328125","-84.45328125","-84.12525","-84.12525","-84.12525","-81.547875","-81.547875","-81.547875"
"92","-76.99453125","-76.99453125","-76.99453125","-73.44528125000001","-73.44528125000001","-73.44528125000001","-76.822875","-76.822875","-76.822875","-79.92853124999999","-79.92853124999999","-79.92853124999999","-77.75509375","-77.75509375","-77.75509375"
"96","-88.585625","-88.585625","-88.585625","-79.66384375","-79.66384375","-79.66384375","-87.524","-87.524","-87.524","-85.3358125","-85.3358125","-85.3358125","-88.56121875","-88.56121875","-88.56121875"
"100","-83.48284375","-83.48284375","-83.48284375","-76.37109375","-76.37109375","-76.37109375","-80.15171874999999","-80.15171874999999","-80.15171874999999","-80.9343125","-80.9343125","-80.9343125","-87.1808125","-87.1808125","-87.1808125"
"104","-88.77475","-88.77475","-88.77475","-81.09784375000001","-81.09784375000001","-81.09784375000001","-86.6405625","-86.6405625","-86.6405625","-89.38953125","-89.38953125","-89.38953125","-93.66328125","-93.66328125","-93.66328125"
"108","-80.76050000000001","-80.76050000000001","-80.76050000000001","-74.2595","-74.2595","-74.2595","-76.84665625","-76.84665625","-76.84665625","-73.42740625","-73.42740625","-73.42740625","-83.94081249999999","-83.94081249999999","-83.94081249999999"
"112","-75.65596875","-75.65596875","-75.65596875","-73.62309375000001","-73.62309375000001","-73.62309375000001","-72.5928125","-72.5928125","-72.5928125","-69.14265624999999","-69.14265624999999","-69.14265624999999","-82.10234375000002","-82.10234375000002","-82.10234375000002"
"116","-84.44759375","-84.44759375","-84.44759375","-83.33193750000001","-83.33193750000001","-83.33193750000001","-82.89371875","-82.89371875","-82.89371875","-80.5945625","-80.5945625","-80.5945625","-89.27525","-89.27525","-89.27525"
"120","-76.52409375","-76.52409375","-76.52409375","-72.465625","-72.465625","-72.465625","-73.05540625","-73.05540625","-73.05540625","-70.6585","-70.6585","-70.6585","-82.284375","-82.284375","-82.284375"
"124","-81.39603125","-81.39603125","-81.39603125","-79.0716875","-79.0716875","-79.0716875","-77.99306250000001","-77.99306250000001","-77.99306250000001","-77.6869375","-77.6869375","-77.6869375","-89.9675","-89.9675","-89.9675"
"128","-77.644625","-77.644625","-77.644625","-71.92490625","-71.92490625","-71.92490625","-72.14874999999999","-72.14874999999999","-72.14874999999999","-72.764625","-72.764625","-72.764625","-85.06328125","-85.06328125","-85.06328125"
"132","-79.15946875","-79.15946875","-79.15946875","-76.1679375","-76.1679375","-76.1679375","-78.01425","-78.01425","-78.01425","-76.92984375","-76.92984375","-76.92984375","-86.72256250000001","-86.72256250000001","-86.72256250000001"
"136","-75.37528125","-75.37528125","-75.37528125","-71.1839375","-71.1839375","-71.1839375","-71.242625","-71.242625","-71.242625","-68.7555","-68.7555","-68.7555","-79.98225000000001","-79.98225000000001","-79.98225000000001"
"140","-70.04590625","-70.04590625","-70.04590625","-67.5314375","-67.5314375","-67.5314375","-66.06371875","-66.06371875","-66.06371875","-68.475","-68.475","-68.475","-74.63921875","-74.63921875","-74.63921875"
"144","-69.807875","-69.807875","-69.807875","-72.31578124999999","-72.31578124999999","-72.31578124999999","-67.4403125","-67.4403125","-67.4403125","-66.0569375","-66.0569375","-66.0569375","-76.89496875","-76.89496875","-76.89496875"
"148","-67.94653124999999","-67.94653124999999","-67.94653124999999","-66.618","-66.618","-66.618","-62.099031249999996","-62.099031249999996","-62.099031249999996","-68.77909375","-68.77909375","-68.77909375","-69.33959375","-69.33959375","-69.33959375"
"152","-77.17309374999999","-77.17309374999999","-77.17309374999999","-73.68309375","-73.68309375","-73.68309375","-71.3323125","-71.3323125","-71.3323125","-72.32362499999999","-72.32362499999999","-72.32362499999999","-74.89059375","-74.89059375","-74.89059375"
"156","-70.29306249999999","-70.29306249999999","-70.29306249999999","-72.28031250000001","-72.28031250000001","-72.28031250000001","-69.35887500000001","-69.35887500000001","-69.35887500000001","-74.35778124999999","-74.35778124999999","-74.35778124999999","-69.5176875","-69.5176875","-69.5176875"
"160","-66.09746874999999","-66.09746874999999","-66.09746874999999","-65.96584375","-65.96584375","-65.96584375","-63.9544375","-63.9544375","-63.9544375","-66.5101875","-66.5101875","-66.5101875","-65.25603125","-65.25603125","-65.25603125"
"164","-63.99978125","-63.99978125","-63.99978125","-63.37949999999999","-63.37949999999999","-63.37949999999999","-58.5508125","-58.5508125","-58.5508125","-65.4153125","-65.4153125","-65.4153125","-60.89153125","-60.89153125","-60.89153125"
"168","-59.46540625","-59.46540625","-59.46540625","-63.074125","-63.074125","-63.074125","-58.7475625","-58.7475625","-58.7475625","-62.7035625","-62.7035625","-62.7035625","-66.09","-66.09","-66.09"
"172","-60.30890625000001","-60.30890625000001","-60.30890625000001","-60.2588125","-60.2588125","-60.2588125","-60.138156249999994","-60.138156249999994","-60.138156249999994","-70.22990625","-70.22990625","-70.22990625","-62.3348125","-62.3348125","-62.3348125"
"176","-59.86753125","-59.86753125","-59.86753125","-59.1718125","-59.1718125","-59.1718125","-57.026968749999995","-57.026968749999995","-57.026968749999995","-63.6921875","-63.6921875","-63.6921875","-66.13653125","-66.13653125","-66.13653125"
"180","-55.9858125","-55.9858125","-55.9858125","-56.959593749999996","-56.959593749999996","-56.959593749999996","-56.119625","-56.119625","-56.119625","-62.23034375","-62.23034375","-62.23034375","-61.47815625","-61.47815625","-61.47815625"
"184","-56.744937500000006","-56.744937500000006","-56.744937500000006","-57.8944375","-57.8944375","-57.8944375","-60.32118749999999","-60.32118749999999","-60.32118749999999","-64.81875","-64.81875","-64.81875","-63.4995625","-63.4995625","-63.4995625"
"188","-52.93628125","-52.93628125","-52.93628125","-58.460875","-58.460875","-58.460875","-54.58553125","-54.58553125","-54.58553125","-60.544406249999994","-60.544406249999994","-60.544406249999994","-59.21325","-59.21325","-59.21325"
"192","-51.026625","-51.026625","-51.026625","-57.217937500000005","-57.217937500000005","-57.217937500000005","-53.869625","-53.869625","-53.869625","-57.98025","-57.98025","-57.98025","-62.163250000000005","-62.163250000000005","-62.163250000000005"
"196","-52.31721875","-52.31721875","-52.31721875","-55.98378125000001","-55.98378125000001","-55.98378125000001","-51.79121875","-51.79121875","-51.79121875","-54.8035","-54.8035","-54.8035","-61.06925","-61.06925","-61.06925"
"200","-50.78246875","-50.78246875","-50.78246875","-54.198875","-54.198875","-54.198875","-61.794125","-61.794125","-61.794125","-61.270375","-61.270375","-61.270375","-58.27440625","-58.27440625","-58.27440625"
"204","-50.37803125","-50.37803125","-50.37803125","-52.97334375","-52.97334375","-52.97334375","-53.895812500000005","-53.895812500000005","-53.895812500000005","-59.41984375","-59.41984375","-59.41984375","-61.64275000000001","-61.64275000000001","-61.64275000000001"
"208","-48.471562500000005","-48.471562500000005","-48.471562500000005","-53.33684375","-53.33684375","-53.33684375","-54.92359375","-54.92359375","-54.92359375","-61.31609374999999","-61.31609374999999","-61.31609374999999","-60.17903125","-60.17903125","-60.17903125"
"212","-44.96309375","-44.96309375","-44.96309375","-50.79109375","-50.79109375","-50.79109375","-53.36631249999999","-53.36631249999999","-53.36631249999999","-61.769156249999995","-61.769156249999995","-61.769156249999995","-58.113156249999996","-58.113156249999996","-58.113156249999996"
"216","-41.089656250000004","-41.089656250000004","-41.089656250000004","-44.386250000000004","-44.386250000000004","-44.386250000000004","-45.545249999999996","-45.545249999999996","-45.545249999999996","-52.739031250000004","-52.739031250000004","-52.739031250000004","-52.011062499999994","-52.011062499999994","-52.011062499999994"
"220","-39.4525","-39.4525","-39.4525","-46.60809375","-46.60809375","-46.60809375","-51.06075","-51.06075","-51.06075","-54.27109375","-54.27109375","-54.27109375","-53.825531250000004","-53.825531250000004","-53.825531250000004"
"224","-41.977625","-41.977625","-41.977625","-46.6218125","-46.6218125","-46.6218125","-52.953562500000004","-52.953562500000004","-52.953562500000004","-58.257875","-58.257875","-58.257875","-54.48675","-54.48675","-54.48675"
"228","-39.828","-39.828","-39.828","-48.79721875","-48.79721875","-48.79721875","-50.597406250000006","-50.597406250000006","-50.597406250000006","-57.785000000000004","-57.785000000000004","-57.785000000000004","-55.91084375","-55.91084375","-55.91084375"
"232","-38.94078125","-38.94078125","-38.94078125","-46.891156249999995","-46.891156249999995","-46.891156249999995","-50.405874999999995","-50.405874999999995","-50.405874999999995","-56.18596875","-56.18596875","-56.18596875","-54.219218749999996","-54.219218749999996","-54.219218749999996"
"236","-37.256625","-37.256625","-37.256625","-45.884437500000004","-45.884437500000004","-45.884437500000004","-48.09121875","-48.09121875","-48.09121875","-56.53993749999999","-56.53993749999999","-56.53993749999999","-51.283500000000004","-51.283500000000004","-51.283500000000004"
"240","-39.157406249999994","-39.157406249999994","-39.157406249999994","-47.171906250000006","-47.171906250000006","-47.171906250000006","-49.709656249999995","-49.709656249999995","-49.709656249999995","-56.42653125","-56.42653125","-56.42653125","-52.45675","-52.45675","-52.45675"
"244","-36.07896875","-36.07896875","-36.07896875","-46.99815625","-46.99815625","-46.99815625","-47.78637500000001","-47.78637500000001","-47.78637500000001","-55.225218749999996","-55.225218749999996","-55.225218749999996","-50.7615","-50.7615","-50.7615"
"248","-37.4023125","-37.4023125","-37.4023125","-46.19290625","-46.19290625","-46.19290625","-46.15046875","-46.15046875","-46.15046875","-58.49159375","-58.49159375","-58.49159375","-51.992093749999995","-51.992093749999995","-51.992093749999995"
"252","-33.9525625","-33.9525625","-33.9525625","-44.433156249999996","-44.433156249999996","-44.433156249999996","-44.48221875","-44.48221875","-44.48221875","-56.24165625","-56.24165625","-56.24165625","-48.089812499999994","-48.089812499999994","-48.089812499999994"
"256","-37.50290625","-37.50290625","-37.50290625","-43.241093750000005","-43.241093750000005","-43.241093750000005","-44.3464375","-44.3464375","-44.3464375","-56.83784375","-56.83784375","-56.83784375","-46.7299375","-46.7299375","-46.7299375"
"260","-36.094187500000004","-36.094187500000004","-36.094187500000004","-41.45521875","-41.45521875","-41.45521875","-43.4895","-43.4895","-43.4895","-61.265625","-61.265625","-61.265625","-51.51953125","-51.51953125","-51.51953125"
"264","-31.788312499999996","-31.788312499999996","-31.788312499999996","-37.7235625","-37.7235625","-37.7235625","-37.01875","-37.01875","-37.01875","-51.538875000000004","-51.538875000000004","-51.538875000000004","-43.1768125","-43.1768125","-43.1768125"
"268","-32.53253125","-32.53253125","-32.53253125","-38.15796875","-38.15796875","-38.15796875","-37.74221875","-37.74221875","-37.74221875","-56.7121875","-56.7121875","-56.7121875","-48.560218750000004","-48.560218750000004","-48.560218750000004"
"272","-32.60959375","-32.60959375","-32.60959375","-37.918625","-37.918625","-37.918625","-38.5816875","-38.5816875","-38.5816875","-56.1949375","-56.1949375","-56.1949375","-49.2510625","-49.2510625","-49.2510625"
"276","-32.36246875","-32.36246875","-32.36246875","-36.5890625","-36.5890625","-36.5890625","-39.444031249999995","-39.444031249999995","-39.444031249999995","-56.74534375","-56.74534375","-56.74534375","-48.585218749999996","-48.585218749999996","-48.585218749999996"
"280","-27.87878125","-27.87878125","-27.87878125","-33.820875","-33.820875","-33.820875","-35.010093749999996","-35.010093749999996","-35.010093749999996","-54.2375625","-54.2375625","-54.2375625","-43.815062499999996","-43.815062499999996","-43.815062499999996"
"284","-27.85640625","-27.85640625","-27.85640625","-31.46240625","-31.46240625","-31.46240625","-32.732749999999996","-32.732749999999996","-32.732749999999996","-50.7071875","-50.7071875","-50.7071875","-42.78984375","-42.78984375","-42.78984375"
"288","-28.668375000000005","-28.668375000000005","-28.668375000000005","-33.72496875","-33.72496875","-33.72496875","-31.50809375","-31.50809375","-31.50809375","-50.0553125","-50.0553125","-50.0553125","-42.9445","-42.9445","-42.9445"
"292","-27.65246875","-27.65246875","-27.65246875","-29.949437500000002","-29.949437500000002","-29.949437500000002","-29.485468750000003","-29.485468750000003","-29.485468750000003","-48.261874999999996","-48.261874999999996","-48.261874999999996","-40.73921875","-40.73921875","-40.73921875"
"296","-25.460843750000002","-25.460843750000002","-25.460843750000002","-27.749843749999997","-27.749843749999997","-27.749843749999997","-27.884531250000002","-27.884531250000002","-27.884531250000002","-47.07134375","-47.07134375","-47.07134375","-37.8761875","-37.8761875","-37.8761875"
"300","-27.11815625","-27.11815625","-27.11815625","-29.912875","-29.912875","-29.912875","-27.3278125","-27.3278125","-27.3278125","-48.665656250000005","-48.665656250000005","-48.665656250000005","-41.88309375","-41.88309375","-41.88309375"
"304","-29.03275","-29.03275","-29.03275","-30.62528125","-30.62528125","-30.62528125","-28.45640625","-28.45640625","-28.45640625","-46.924","-46.924","-46.924","-42.00740625","-42.00740625","-42.00740625"
"308","-24.667218749999996","-24.667218749999996","-24.667218749999996","-26.0229375","-26.0229375","-26.0229375","-26.566","-26.566","-26.566","-42.259781249999996","-42.259781249999996","-42.259781249999996","-38.65118749999999","-38.65118749999999","-38.65118749999999"
"312","-23.00328125","-23.00328125","-23.00328125","-25.6584375","-25.6584375","-25.6584375","-27.15865625","-27.15865625","-27.15865625","-45.12412499999999","-45.12412499999999","-45.12412499999999","-37.787406250000004","-37.787406250000004","-37.787406250000004"
"316","-26.373781249999997","-26.373781249999997","-26.373781249999997","-26.578281250000003","-26.578281250000003","-26.578281250000003","-29.5970625","-29.5970625","-29.5970625","-50.8534375","-50.8534375","-50.8534375","-39.82234375","-39.82234375","-39.82234375"
"320","-22.6668125","-22.6668125","-22.6668125","-24.941499999999998","-24.941499999999998","-24.941499999999998","-29.138624999999998","-29.138624999999998","-29.138624999999998","-49.34378125","-49.34378125","-49.34378125","-36.753468749999996","-36.753468749999996","-36.753468749999996"
"324","-21.548562500000003","-21.548562500000003","-21.548562500000003","-22.78690625","-22.78690625","-22.78690625","-27.3481875","-27.3481875","-27.3481875","-50.446124999999995","-50.446124999999995","-50.446124999999995","-38.52965625","-38.52965625","-38.52965625"
"328","-19.905531250000003","-19.905531250000003","-19.905531250000003","-20.325375","-20.325375","-20.325375","-27.23675","-27.23675","-27.23675","-51.6423125","-51.6423125","-51.6423125","-36.0808125","-36.0808125","-36.0808125"
"332","-19.518749999999997","-19.518749999999997","-19.518749999999997","-19.39025","-19.39025","-19.39025","-26.985375","-26.985375","-26.985375","-46.56790625","-46.56790625","-46.56790625","-36.087062499999995","-36.087062499999995","-36.087062499999995"
"336","-18.529531249999998","-18.529531249999998","-18.529531249999998","-17.434187499999997","-17.434187499999997","-17.434187499999997","-24.8088125","-24.8088125","-24.8088125","-42.85690625","-42.85690625","-42.85690625","-34.194875","-34.194875","-34.194875"
"340","-18.72734375","-18.72734375","-18.72734375","-16.812843750000003","-16.812843750000003","-16.812843750000003","-24.79415625","-24.79415625","-24.79415625","-42.5303125","-42.5303125","-42.5303125","-34.38025","-34.38025","-34.38025"
"344","-16.936406249999997","-16.936406249999997","-16.936406249999997","-14.96590625","-14.96590625","-14.96590625","-22.4304375","-22.4304375","-22.4304375","-40.03746875","-40.03746875","-40.03746875","-33.64334375","-33.64334375","-33.64334375"
"348","-14.52103125","-14.52103125","-14.52103125","-14.17890625","-14.17890625","-14.17890625","-17.1220625","-17.1220625","-17.1220625","-36.09584375","-36.09584375","-36.09584375","-30.54690625","-30.54690625","-30.54690625"
"352","-14.5445","-14.5445","-14.5445","-13.519906250000002","-13.519906250000002","-13.519906250000002","-17.1739375","-17.1739375","-17.1739375","-36.3484375","-36.3484375","-36.3484375","-28.182624999999998","-28.182624999999998","-28.182624999999998"
"356","-14.65009375","-14.65009375","-14.65009375","-14.068843750000001","-14.068843750000001","-14.068843750000001","-18.78221875","-18.78221875","-18.78221875","-33.82940625","-33.82940625","-33.82940625","-26.862218749999997","-26.862218749999997","-26.862218749999997"
"360","-13.0851875","-13.0851875","-13.0851875","-14.0241875","-14.0241875","-14.0241875","-17.11575","-17.11575","-17.11575","-35.7216875","-35.7216875","-35.7216875","-28.17953125","-28.17953125","-28.17953125"
"364","-12.13475","-12.13475","-12.13475","-13.1976875","-13.1976875","-13.1976875","-14.625843750000001","-14.625843750000001","-14.625843750000001","-35.39203125","-35.39203125","-35.39203125","-27.48371875","-27.48371875","-27.48371875"
"368","-11.4743125","-11.4743125","-11.4743125","-11.83071875","-11.83071875","-11.83071875","-13.164312500000001","-13.164312500000001","-13.164312500000001","-34.561843749999994","-34.561843749999994","-34.561843749999994","-26.500999999999998","-26.500999999999998","-26.500999999999998"
"372","-10.81046875","-10.81046875","-10.81046875","-11.2905625","-11.2905625","-11.2905625","-12.1436875","-12.1436875","-12.1436875","-31.61840625","-31.61840625","-31.61840625","-26.6556875","-26.6556875","-26.6556875"
"376","-10.554718750000001","-10.554718750000001","-10.554718750000001","-11.16315625","-11.16315625","-11.16315625","-11.7808125","-11.7808125","-11.7808125","-32.44803125","-32.44803125","-32.44803125","-25.31378125","-25.31378125","-25.31378125"
"380","-10.3291875","-10.3291875","-10.3291875","-11.1700625","-11.1700625","-11.1700625","-12.01584375","-12.01584375","-12.01584375","-29.95396875","-29.95396875","-29.95396875","-24.595656249999998","-24.595656249999998","-24.595656249999998"
"384","-9.996625","-9.996625","-9.996625","-11.0215625","-11.0215625","-11.0215625","-10.50509375","-10.50509375","-10.50509375","-32.3834375","-32.3834375","-32.3834375","-24.284","-24.284","-24.284"
"388","-9.89440625","-9.89440625","-9.89440625","-10.726875","-10.726875","-10.726875","-10.72953125","-10.72953125","-10.72953125","-28.995031249999997","-28.995031249999997","-28.995031249999997","-22.92921875","-22.92921875","-22.92921875"
"392","-9.5674375","-9.5674375","-9.5674375","-10.7218125","-10.7218125","-10.7218125","-10.6354375","-10.6354375","-10.6354375","-29.09046875","-29.09046875","-29.09046875","-19.9389375","-19.9389375","-19.9389375"
"396","-9.99728125","-9.99728125","-9.99728125","-10.86990625","-10.86990625","-10.86990625","-10.598625000000002","-10.598625000000002","-10.598625000000002","-29.20703125","-29.20703125","-29.20703125","-19.660281249999997","-19.660281249999997","-19.660281249999997"